iter	Passed	Remaining
0	0	85
1	1	77
2	2	79
3	2	71
4	3	70
5	4	69
6	5	68
7	5	66
8	6	65
9	7	64
10	7	63
11	8	62
12	9	61
13	9	60
14	10	59
15	11	58
16	11	57
17	12	57
18	13	56
19	13	55
20	14	54
21	15	53
22	15	52
23	16	52
24	17	51
25	17	50
26	18	50
27	19	49
28	19	48
29	20	47
30	21	47
31	21	46
32	22	45
33	23	44
34	23	44
35	24	43
36	25	42
37	25	42
38	26	41
39	27	40
40	27	40
41	28	38
42	28	38
43	29	37
44	30	36
45	30	36
46	31	35
47	32	34
48	32	34
49	33	33
50	34	32
51	34	32
52	35	31
53	36	30
54	36	29
55	37	29
56	37	28
57	38	27
58	39	27
59	39	26
60	40	25
61	41	25
62	42	24
63	42	24
64	43	23
65	44	22
66	44	22
67	45	21
68	46	20
69	46	20
70	47	19
71	48	18
72	48	18
73	49	17
74	50	16
75	50	15
76	51	15
77	51	14
78	52	13
79	53	13
80	53	12
81	54	11
82	55	11
83	55	10
84	56	9
85	57	9
86	58	8
87	59	8
88	59	7
89	60	6
90	61	6
91	61	5
92	62	4
93	62	4
94	63	3
95	64	2
96	64	2
97	65	1
98	66	0
99	66	0
